,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
100,Calcio Catania,54.0,24.3,28.0,1.46,78.98,18,38,-32,32,2013
101,Atalanta BC,62.0,25.0,14.0,1.19,73.93,11,38,-8,50,2013
102,AS Livorno,48.0,24.9,14.0,1.48,71.18,20,38,-38,25,2013
103,Bologna FC 1909,64.0,24.7,26.0,1.09,69.83,19,38,-30,29,2013
104,Chievo Verona,72.0,25.0,35.0,0.959,69.08,16,38,-20,36,2013
105,Hellas Verona,54.0,25.5,22.0,1.24,67.13,10,38,-6,54,2013
106,Juventus FC,36.0,26.5,15.0,8.58,308.9,20,38,47,0,2005
107,AC Milan,36.0,27.4,17.0,7.49,269.75,3,38,54,58,2005
108,FC Internazionale,52.0,24.9,31.0,4.52,234.93,1,38,38,76,2005
109,AS Roma,42.0,23.8,12.0,4.27,179.2,2,38,28,69,2005
110,ACF Fiorentina,43.0,25.9,15.0,3.23,138.68,9,38,25,44,2005
111,US Palermo,43.0,24.8,7.0,2.19,94.2,5,38,-2,52,2005
112,Udinese Calcio,45.0,24.4,17.0,1.99,89.6,11,38,-14,43,2005
113,SS Lazio,50.0,25.4,14.0,1.66,83.05,16,38,10,32,2005
114,UC Sampdoria,39.0,25.4,5.0,1.58,61.5,12,38,-4,41,2005
115,Parma FC,39.0,24.5,8.0,1.46,57.05,7,38,-14,45,2005
116,AS Livorno,35.0,26.5,9.0,1.61,56.38,6,38,-7,49,2005
117,US Lecce,42.0,23.5,13.0,1.24,52.15,18,38,-27,29,2005
118,Chievo Verona,34.0,25.8,5.0,1.46,49.55,4,38,5,54,2005
119,Reggina Calcio,42.0,24.6,8.0,1.04,43.65,13,38,-26,41,2005
120,FC Messina Peloro,41.0,25.8,12.0,0.975,39.98,17,38,-26,31,2005
121,Empoli FC,30.0,26.4,3.0,1.23,37.0,8,38,-14,45,2005
122,Cagliari Calcio,31.0,25.0,5.0,1.15,35.65,14,38,-13,39,2005
123,AC Siena,33.0,27.5,6.0,1.06,34.98,15,38,-18,39,2005
124,Ascoli Calcio 1898,48.0,25.3,6.0,0.511,24.55,10,38,-10,43,2005
125,Treviso FBC 1993,50.0,25.0,13.0,0.471,23.53,19,38,-32,21,2005
126,FC Internazionale,48.0,25.4,28.0,6.31,303.05,6,38,3,58,2011
127,AC Milan,45.0,26.2,21.0,6.08,273.53,2,38,41,80,2011
128,Juventus FC,34.0,27.8,12.0,7.71,262.28,1,38,48,84,2011
129,SSC Napoli,29.0,28.2,15.0,7.06,204.75,5,38,20,61,2011
130,AS Roma,39.0,25.5,18.0,4.43,172.78,7,38,6,56,2011
131,Udinese Calcio,49.0,23.4,25.0,2.86,140.13,3,38,17,64,2011
132,ACF Fiorentina,40.0,24.6,21.0,3.27,130.83,13,38,-6,46,2011
133,US Palermo,46.0,24.5,25.0,2.59,119.05,16,38,-10,43,2011
134,SS Lazio,52.0,25.3,22.0,2.19,113.63,4,38,9,62,2011
135,Genoa CFC,39.0,25.7,21.0,2.67,104.3,17,38,-19,42,2011
136,Parma FC,43.0,25.2,12.0,1.92,82.35,8,38,1,56,2011
137,Cagliari Calcio,33.0,24.8,12.0,2.17,71.65,15,38,-9,43,2011
138,Atalanta BC,36.0,27.4,5.0,1.88,67.58,12,38,-2,46,2011
139,Bologna FC 1909,41.0,24.8,18.0,1.56,63.9,9,38,-2,51,2011
140,Calcio Catania,39.0,26.5,21.0,1.52,59.25,11,38,-5,48,2011
141,Chievo Verona,40.0,26.2,20.0,1.12,44.8,10,38,-10,49,2011
142,AC Siena,37.0,26.9,10.0,1.06,39.33,14,38,0,44,2011
143,US Lecce,41.0,25.8,17.0,0.915,37.53,18,38,-16,36,2011
144,Novara Calcio 1908,38.0,26.8,13.0,0.748,28.43,19,38,-30,32,2011
145,FC Internazionale,44.0,25.6,27.0,7.89,346.95,2,38,27,76,2010
146,AC Milan,45.0,27.2,22.0,6.4,288.08,1,38,41,82,2010
147,Juventus FC,51.0,25.5,15.0,5.08,258.93,7,38,10,58,2010
148,ACF Fiorentina,42.0,24.4,22.0,4.18,175.48,9,38,5,51,2010
149,AS Roma,43.0,26.2,22.0,4.02,172.98,6,38,7,63,2010
150,SSC Napoli,31.0,27.8,10.0,5.5,170.43,3,38,20,70,2010
151,Genoa CFC,45.0,24.8,22.0,3.74,168.18,10,38,-2,51,2010
